64 3 1
254 66 73 0
255 75 72 0
250 64 62 0
255 69 74 0
255 75 66 0
253 63 75 0
248 64 57 0
250 71 73 0
255 59 65 0
233 89 85 0
251 86 66 0
251 70 66 0
254 66 55 0
249 73 63 0
168 46 36 0
160 28 19 0
199 67 59 0
254 71 69 0
145 26 20 0
155 31 21 0
139 20 11 0
176 44 36 0
143 21 10 0
116 23  2 0
218 57 50 0
244 63 48 0
196 51 36 0
139 25 19 0
153 41 33 0
218 74 82 0
62 42 95 10
64 49 101 10
67 50 98 10
72 53 95 10
46 31 65 10
64 43 97 10
59 38 87 10
61 45 91 10
51 34 65 10
68 47 96 10
72 49 97 10
77 53 100 10
48 30  64 10
42 31 65 10
52 35 69 10
79 52 95 10
63 44 90 10
67 49 100 10
70 49 101 10
62 40 96 10
65 53 97 10
99 87 124 9
92 88 140 9
107 97 153 9
99 90 145 9
128 95 161 9
91 74 132 9
50 45 61 9
35 39 91 9
65 32 100 9
65 61 100 9
84 82 125 9
115 85 158 9
80 77 125 9
