250 3 1
254 66 73 0
255 75 72 0
250 64 62 0
255 69 74 0
255 75 66 0
253 63 75 0
248 64 57 0
250 71 73 0
255 59 65 0
233 89 85 0
251 86 66 0
251 70 66 0
254 66 55 0
249 73 63 0
168 46 36 0
160 28 19 0
199 67 59 0
254 71 69 0
145 26 20 0
155 31 21 0
139 20 11 0
176 44 36 0
143 21 10 0
116 23  2 0
218 57 50 0
244 63 48 0
196 51 36 0
139 25 19 0
153 41 33 0
218 74 82 0
62 42 95 10
64 49 101 10
67 50 98 10
72 53 95 10
46 31 65 10
64 43 97 10
59 38 87 10
61 45 91 10
51 34 65 10
68 47 96 10
72 49 97 10
77 53 100 10
48 30  64 10
42 31 65 10
52 35 69 10
79 52 95 10
63 44 90 10
67 49 100 10
70 49 101 10
62 40 96 10
65 53 97 10
72 51 109 10
71 50 106 10
63 46 94 10
84 66 116 10
74 55 104 10
71 46 87 10
65 46 93 10
64 42 91 10
55 37 86 10
99 87 124 9
92 88 140 9
107 97 153 9
99 90 145 9
128 95 161 9
91 74 132 9
50 45 61 9
35 39 91 9
65 32 100 9
65 61 100 9
84 82 125 9
115 85 158 9
80 77 125 9
95 88 146 9
101 76 136 9
78 95 126 9
114 105 16 9
98 88 139 9
88 84 136 9
103 88 138 9
92 87 124 9
81 95 145 9
118 106 16 9
131 74 159 9
113 116 16 9
122 93 145 9
105 90 145 9
62 67 108 9
80 79 131 9 
94 104 133 9
104 82 135 9
95 89 143 9
78 64 125 9
146 208 22 8
120 165 19 8
120 174 19 8
70 95 104 8
126 168 19 8
144 181 21 8
134 187 20 8
51 68 81 8
127 179 19 8
114 176 20 8
135 195 20 8
144 182 20 8
136 194 21 8
133 176 20 8
129 179 19 8
97 154 170 8
124 177 20 8
145 203 22 8
133 200 19 8
133 181 19 8
125 164 18 8
125 183 19 8
119 174 18 8
136 182 20 8
141 181 20 8
128 201 21 8
127 186 19 8
144 189 21 8
125 175 81 5
129 181 70 5
156 173 10 5
121 158 71 5 
153 201 80 5
117 166 68 5
87 102 45 5
142 179 76 5
60 92 28 5
54 71 10 5
144 186 72 5
143 186 89 5
151 189 10 5
153 193 88 5
79 112 38 5
131 166 99 5
146 170 85 5
130 180 72 5
134 174 71 5
140 185 99 5
164 214 10 5
170 191 12 5
141 174 90 5
155 193 11 5
129 181 70 5
141 182 81 5
134 167 95 5
128 171 67 5
140 191 95 5
126 200 71 5
154 181 12 5
140 172 99 5
161 211 12 5
134 178 79 5
154 192 12 5
142 187 93 5
126 164 87 5
129 173 67 5
131 183 68 5
143 181 77 5
161 199 80 5
125 169 71 5
141 184 82 5
156 196 93 5
134 175 78 5
125 168 66 5
125 170 64 5
137 175 10 5
154 176 78 5
128 167 10 5
133 179 80 5
147 175 92 5
155 178 12 5
156 196 93 5
137 182 10 5
122 160 73 5
164 184 99 5
148 190 11 5
148 181 93 5
140 185 10 5
121 164 57 5
152 184 11 5
136 177 88 5
103 164 98 6
105 168 82 6
108 170 90 6
124 179 12 6
125 179 11 6
139 183 12 6
110 167 87 6
104 166 73 6
120 160 10 6
110 172 97 6
118 174 83 6
126 180 12 6
107 167 94 6
116 170 10 6
131 183 12 6
117 180 11 6
123 176 10 6
147 195 15 6
124 183 12 6
141 190 10 6
115 168 11 6
101 161 80 6
110 169 77 6
119 180 12 6
112 175 92 6
108 166 87 6
124 175 11 6
131 179 97 6
108 164 11 6
126 189 17 7
124 183 19 7
110 173 17 7
100 184 14 7
139 201 14 7
105 168 10 7
130 192 19 7
113 170 10 7
131 192 16 7
131 182 19 7
135 188 18 7
127 184 17 7
118 181 19 7
149 192 17 7
112 178 14 7
123 186 18 7
106 172 16 7
117 184 18 7
126 197 18 7
106 163 15 7
105 176 13 7
145 204 19 7
107 171 17 7
114 186 14 7 
135 184 18 7
108 176 18 7
99 192 166 7
127 207 14 7
128 177 17 7
118 186 17 7
120 197 18 7
103 190 15 7
128 197 19 7
130 197 19 7
125 177 18 7
117 190 15 7
97 179 128 7



